id,filename,item,itemtext,type,relevance,count,year,sentiment,anger,fear,joy,sadness,disgust
51954,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"United Nations",NULL,0.962448,0,2011,0,0,0,0,0,0
51955,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,Israel,NULL,0.795133,0,2011,0,0,0,0,0,0
51956,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,Sudan,NULL,0.701157,0,2011,0,0,0,0,0,0
51957,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Middle East",NULL,0.648779,0,2011,0,0,0,0,0,0
51958,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,Egypt,NULL,0.578456,0,2011,0,0,0,0,0,0
51959,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Millennium Development Goals",NULL,0.563044,0,2011,0,0,0,0,0,0
51960,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,Egyptians,NULL,0.519441,0,2011,0,0,0,0,0,0
51961,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,Jordan,NULL,0.518617,0,2011,0,0,0,0,0,0
51962,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Palestinian National Authority",NULL,0.498423,0,2011,0,0,0,0,0,0
51963,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Southern Sudan",NULL,0.48445,0,2011,0,0,0,0,0,0
51964,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Palestinian territories",NULL,0.474013,0,2011,0,0,0,0,0,0
51965,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,Palestine,NULL,0.471647,0,2011,0,0,0,0,0,0
51966,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Saudi Arabia",NULL,0.399291,0,2011,0,0,0,0,0,0
51967,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Palestinian people",NULL,0.394127,0,2011,0,0,0,0,0,0
51968,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"West Bank",NULL,0.389837,0,2011,0,0,0,0,0,0
51969,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,Africa,NULL,0.387026,0,2011,0,0,0,0,0,0
51970,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Ancient Egypt",NULL,0.385768,0,2011,0,0,0,0,0,0
51971,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"North Africa",NULL,0.379559,0,2011,0,0,0,0,0,0
51972,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"International law",NULL,0.37378,0,2011,0,0,0,0,0,0
51973,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Concepts,"Arabic language",NULL,0.371755,0,2011,0,0,0,0,0,0
51974,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Categories,"/law, govt and politics/legal issues/human rights",NULL,0.589634,0,2011,0,0,0,0,0,0
51975,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Categories,"/society/unrest and war",NULL,0.44724,0,2011,0,0,0,0,0,0
51976,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Categories,"/law, govt and politics/legal issues/international law",NULL,0.378572,0,2011,0,0,0,0,0,0
51977,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Entities,Egypt,Location,0.785921,0,2011,0.229964,0.07963,0.072244,0.543063,0.126452,0.06198
51978,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Entities,"United Nations",Organization,0.408047,0,2011,0,0.151366,0.037113,0.181202,0.192486,0.107353
51979,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Entities,"Security Council",Organization,0.305609,0,2011,-0.314267,0.115398,0.186721,0.109163,0.152366,0.384824
51980,"/home/jdellaria/Desktop/UNGA Speeches/2011/EGY_66_2011.txt.nlu.json",Entities,"Non-Aligned Movement",Organization,0.304164,0,2011,-0.429776,0.061075,0.154999,0.281911,0.437762,0.185729
